Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.69678E-3,5.831370727,0.061695364,0.045143639,0.283553875,0
1.77487E-3,6.081869864,0.064352055,0.044459644,0.285444234,0
2.35887E-3,6.317756952,0.083752902,0.04377565,0.293005671,0
2.4902E-3,6.566776859,0.088005418,0.043091655,0.29489603,0
2.56796E-3,6.792305926,0.090504727,0.042407661,0.300567108,0
2.78566E-3,7.103254693,0.097429762,0.041723666,0.304347826,0
2.80201E-3,7.383456022,0.097945819,0.041039672,0.306238185,0
2.8709E-3,7.670545595,0.100112587,0.040355677,0.306238185,0
2.8957E-3,7.96011579,0.100890345,0.039671683,0.306238185,0
2.91126E-3,8.251241362,0.101377322,0.038987688,0.306238185,0
2.91412E-3,8.542653007,0.101466832,0.038303694,0.306238185,0
3.10394E-3,8.761864661,0.107366527,0.037619699,0.311909263,0
3.2412E-3,9.185810882,0.111584849,0.036935705,0.313799622,0
3.60177E-3,9.54598821,0.122477848,0.03625171,0.315689981,0
3.73484E-3,9.879926046,0.126430601,0.035567715,0.31758034,0
3.79877E-3,10.025439459,0.128317214,0.034883721,0.321361059,0
3.93029E-3,10.314141758,0.132172386,0.034883721,0.325141777,0
3.94724E-3,10.53502686,0.132667028,0.034199726,0.325141777,0
3.98415E-3,10.825201971,0.133741492,0.033515732,0.327032136,0
4.03645E-3,11.081603196,0.135259576,0.033515732,0.330812854,0
4.05008E-3,11.519535538,0.135654505,0.032831737,0.336483932,0
4.0709E-3,11.92662525,0.13625671,0.032147743,0.336483932,0
4.34681E-3,12.238049985,0.144160408,0.031463748,0.338374291,0
4.46401E-3,12.370336884,0.147474136,0.031463748,0.34026465,0
4.59891E-3,12.551835825,0.151256599,0.030779754,0.342155009,0
4.82403E-3,12.855690946,0.157494691,0.030779754,0.349716446,0
4.84765E-3,13.340455687,0.158143756,0.030095759,0.349716446,0
4.87635E-3,13.828090566,0.158931264,0.029411765,0.349716446,0
4.90412E-3,14.318502291,0.159691774,0.02872777,0.349716446,0
5.11063E-3,14.829564865,0.165304678,0.028043776,0.349716446,0
5.2634E-3,15.343653143,0.169409131,0.027359781,0.349716446,0
5.36224E-3,15.617561333,0.172042988,0.026675787,0.351606805,0
5.46607E-3,15.90288754,0.174792097,0.026675787,0.353497164,0
5.54022E-3,16.456909679,0.176744144,0.025991792,0.353497164,0
5.58016E-3,17.014925775,0.177791763,0.025307798,0.353497164,0
5.87698E-3,17.321235021,0.185494561,0.024623803,0.357277883,0
6.1789E-3,17.632816252,0.193183259,0.024623803,0.359168242,0
6.23218E-3,18.256033807,0.194524786,0.023939808,0.359168242,0
6.26559E-3,18.882593153,0.195364079,0.023255814,0.359168242,0
6.40416E-3,19.523009636,0.198825728,0.022571819,0.359168242,0
6.51227E-3,19.883493736,0.201505774,0.021887825,0.359168242,0
6.60216E-3,20.183225902,0.20372054,0.021887825,0.361058601,0
6.60787E-3,20.844013391,0.203860868,0.02120383,0.361058601,0
6.65882E-3,21.013299557,0.205110178,0.020519836,0.361058601,0
6.8129E-3,21.525303136,0.208864949,0.020519836,0.364839319,0
6.93713E-3,22.21901619,0.211866673,0.019835841,0.364839319,0
7.37274E-3,22.956289928,0.222214221,0.019151847,0.364839319,0
7.46456E-3,23.702746025,0.22436085,0.018467852,0.364839319,0
7.61128E-3,24.32813091,0.227766279,0.017783858,0.364839319,0
7.81285E-3,25.24841969,0.23239643,0.017099863,0.366729679,0
7.83098E-3,25.278456861,0.232810101,0.016415869,0.366729679,0
8.1668E-3,25.83492658,0.240393947,0.016415869,0.372400756,0
8.30802E-3,26.068920885,0.243538343,0.016415869,0.374291115,0
8.45416E-3,26.92529845,0.246765113,0.015731874,0.376181474,0
8.4867E-3,27.056082983,0.247480015,0.01504788,0.378071834,0
8.58502E-3,27.451162614,0.249631405,0.01504788,0.379962193,0
8.66992E-3,27.792290164,0.251479129,0.01504788,0.381852552,0
8.71677E-3,28.663966693,0.252494895,0.014363885,0.381852552,0
9.24521E-3,29.588487308,0.263764543,0.013679891,0.381852552,0
9.47175E-3,30.144481836,0.268492568,0.012995896,0.381852552,0
9.63792E-3,30.5522791,0.271921942,0.012995896,0.38563327,0
9.77385E-3,31.139319132,0.274703552,0.012311902,0.38563327,0
9.86638E-3,31.538916867,0.276584866,0.012311902,0.387523629,0
1.00476E-2,32.543678366,0.280241698,0.011627907,0.387523629,0
1.03575E-2,32.906377295,0.286409094,0.010943912,0.389413989,0
1.09825E-2,33.637959708,0.298532915,0.010943912,0.391304348,0
1.11355E-2,33.826636451,0.301437285,0.010259918,0.393194707,0
1.14898E-2,34.264334958,0.308074851,0.010259918,0.398865784,0
1.19048E-2,34.776848887,0.315688414,0.010259918,0.400756144,0
