"x"	"y"
-73.75	41.25
-73.25	41.25
-72.75	41.25
-72.25	41.25
-71.75	41.25
-71.25	41.25
-70.75	41.25
-70.25	41.25
-124.25	40.75
-123.75	40.75
-123.25	40.75
-122.75	40.75
-122.25	40.75
-121.75	40.75
-121.25	40.75
-120.75	40.75
-120.25	40.75
-119.75	40.75
-119.25	40.75
-115.75	40.75
-114.75	40.75
-112.25	40.75
-109.25	40.75
-106.25	40.75
-105.75	40.75
-105.25	40.75
-78.25	40.75
-75.75	40.75
-74.75	40.75
-74.25	40.75
-73.75	40.75
-72.75	40.75
-124.25	40.25
-123.75	40.25
-122.25	40.25
-121.75	40.25
-121.25	40.25
-120.75	40.25
-120.25	40.25
-115.25	40.25
-114.75	40.25
-112.75	40.25
-111.75	40.25
-111.25	40.25
-105.75	40.25
-105.25	40.25
-78.25	40.25
-76.75	40.25
-74.25	40.25
-123.75	39.75
-123.25	39.75
-122.75	39.75
-122.25	39.75
-121.75	39.75
-121.25	39.75
-120.75	39.75
-120.25	39.75
-119.75	39.75
-117.25	39.75
-115.75	39.75
-115.25	39.75
-114.75	39.75
-114.25	39.75
-112.25	39.75
-105.25	39.75
-104.75	39.75
-96.25	39.75
-95.75	39.75
-78.25	39.75
-75.25	39.75
-74.75	39.75
-74.25	39.75
-123.75	39.25
-123.25	39.25
-122.25	39.25
-121.25	39.25
-120.75	39.25
-120.25	39.25
-119.75	39.25
-115.75	39.25
-115.25	39.25
-114.75	39.25
-114.25	39.25
-108.25	39.25
-105.25	39.25
-104.75	39.25
-95.75	39.25
-94.25	39.25
-78.25	39.25
-77.25	39.25
-123.75	38.75
-123.25	38.75
-121.25	38.75
-120.75	38.75
-120.25	38.75
-119.75	38.75
-119.25	38.75
-115.75	38.75
-115.25	38.75
-114.75	38.75
-112.75	38.75
-107.75	38.75
-105.25	38.75
-90.25	38.75
-79.75	38.75
-78.25	38.75
-77.75	38.75
-77.25	38.75
-76.75	38.75
-76.25	38.75
-122.75	38.25
-122.25	38.25
-121.75	38.25
-120.75	38.25
-120.25	38.25
-119.75	38.25
-119.25	38.25
-117.25	38.25
-116.75	38.25
-116.25	38.25
-114.75	38.25
-114.25	38.25
-113.75	38.25
-112.75	38.25
-108.25	38.25
-85.25	38.25
-78.75	38.25
-121.75	37.75
-120.25	37.75
-119.75	37.75
-119.25	37.75
-118.75	37.75
-114.75	37.75
-114.25	37.75
-100.25	37.75
-85.75	37.75
-80.75	37.75
-119.75	37.25
-119.25	37.25
-115.25	37.25
-114.75	37.25
-113.25	37.25
-109.75	37.25
-108.25	37.25
-107.75	37.25
-92.75	37.25
-91.25	37.25
-85.75	37.25
-80.75	37.25
-80.25	37.25
-78.75	37.25
-121.75	36.75
-112.25	36.75
-110.75	36.75
-107.75	36.75
-105.25	36.75
-104.75	36.75
-93.25	36.75
-92.75	36.75
-91.75	36.75
-90.75	36.75
-90.25	36.75
-114.75	36.25
-112.25	36.25
-111.25	36.25
-110.75	36.25
-108.75	36.25
-94.25	36.25
-83.75	36.25
-82.75	36.25
-80.25	36.25
-118.25	35.75
-111.75	35.75
-108.75	35.75
-93.75	35.75
-84.75	35.75
-81.25	35.75
-111.75	35.25
-111.25	35.25
-108.25	35.25
-106.75	35.25
-105.25	35.25
-83.25	35.25
-82.75	35.25
-119.25	34.75
-118.75	34.75
-117.25	34.75
-112.25	34.75
-111.75	34.75
-111.25	34.75
-119.25	34.25
-116.75	34.25
-112.75	34.25
-111.25	34.25
-110.75	34.25
-86.25	34.25
-85.75	34.25
-108.75	33.75
-105.75	33.75
-116.75	33.25
-104.75	33.25
-116.75	32.75
-108.25	32.75
-110.75	32.25
-87.25	32.25
-110.75	31.75
-110.25	31.75
-87.25	30.75
